bfs,name,domain,mx,mx_jurisdiction,confidence,rule,target_address,reason
IT-SA-MH1SG6PS,ASMia S.r.l.,asmortara.eu,mx10.firewallsrl.com;mx20.firewallsrl.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@asmortara.eu,"riclassificato da microsoft: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'e"
IT-SA-MJSP89IF,Azienda Servizi Mortara S.p.A.,asmortara.eu,mx10.firewallsrl.com;mx20.firewallsrl.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@asmortara.eu,"riclassificato da microsoft: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'e"
IT-SA-UANQS8JQ,ASMare S.r.l.,asmortara.eu,mx10.firewallsrl.com;mx20.firewallsrl.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@asmortara.eu,"riclassificato da microsoft: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'e"
IT-L34-acrgs_ud,Asp 'Casa di Riposo Giuseppe Sirch',aspsirch.it,relay-rupar-pri.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@aspsirch.it,MX (relay-rupar-pri.regione.fvg.it) is self-hosted
IT-L35-cciaa_ta,"Camera di Commercio, Industria, Artigianato e Agricoltura di Taranto",camcomtaranto.com,mail7.cs.interbusiness.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@camcomtaranto.com,MX (mail7.cs.interbusiness.it) is self-hosted
IT-L34-icffm,Casa del Fanciullo F. Messina,casadelfanciullo.pe.hu,mx1.hostinger.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@casadelfanciullo.pe.hu,MX (mx1.hostinger.it) is self-hosted
IT-L28-cisfa,Consorzio Interuniversitario Scienze Fisiche Applicate,cisfa.net,cisfa.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@cisfa.net,MX (cisfa.net) is self-hosted
IT-L12-xcmar,XVIII Comunita' Montana Area Romana,cmmontilepini.it,cmmontilepini.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@cmmontilepini.it,MX (cmmontilepini.it) is self-hosted
IT-COM-060001,Comune di Acquafondata,comune.acquafondata.fr.it,mail.comune.acquafondata.fr.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.acquafondata.fr.it,MX (mail.comune.acquafondata.fr.it) is self-hosted
IT-COM-019003,Comune di Annicco,comune.annicco.cr.it,mx01.metarete.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.annicco.cr.it,MX (mx01.metarete.it) is self-hosted
IT-COM-024010,Comune di Asigliano Veneto,comune.asiglianoveneto.vi.it,relay1.altovicentino.it;relay2.altovicentino.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.asiglianoveneto.vi.it,"MX (relay1.altovicentino.it, relay2.altovicentino.it) is self-hosted"
IT-COM-093008,Comune di Budoia,comune.budoia.pn.it,mx-01-eu-central-1.prod.hydra.sophos.com;mx-02-eu-central-1.prod.hydra.sophos.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.budoia.pn.it,MX is sophos gateway; backend provider unknown
IT-COM-002041,Comune di Cervatto,comune.cervatto.vc.it,mail.comune.cervatto.vc.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.cervatto.vc.it,MX (mail.comune.cervatto.vc.it) is self-hosted
IT-COM-052008,Comune di Cetona,comune.cetona.siena.it,as1.consorzioterrecablate.it;as2.consorzioterrecablate.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.cetona.siena.it,"MX (as1.consorzioterrecablate.it, as2.consorzioterrecablate.it) is self-hosted"
IT-COM-004069,Comune di Ciglie',comune.ciglie.cn.it,mail.comune.ciglie.cn.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.ciglie.cn.it,MX (mail.comune.ciglie.cn.it) is self-hosted
IT-COM-030030,Comune di Corno di Rosazzo,comune.corno-di-rosazzo.ud.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.corno-di-rosazzo.ud.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-002057,Comune di Fobello,comune.fobello.vc.it,mail.comune.fobello.vc.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.fobello.vc.it,MX (mail.comune.fobello.vc.it) is self-hosted
IT-COM-010024,Comune di Fontanigorda,comune.fontanigorda.ge.it,mail.comune.fontanigorda.ge.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.fontanigorda.ge.it,MX (mail.comune.fontanigorda.ge.it) is self-hosted
IT-COM-004090,Comune di Frabosa Soprana,comune.frabosasoprana.cn.it,mail.comune.frabosasoprana.cn.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.frabosasoprana.cn.it,MX (mail.comune.frabosasoprana.cn.it) is self-hosted
IT-COM-031008,Comune di Gradisca d'Isonzo,comune.gradisca-d-isonzo.go.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.gradisca-d-isonzo.go.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-042023,Comune di Maiolati Spontini,comune.maiolatispontini.an.it,mail7.cs.interbusiness.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.maiolatispontini.an.it,MX (mail7.cs.interbusiness.it) is self-hosted
IT-COM-030062,Comune di Mortegliano,comune.mortegliano.ud.it,mx1.nauta.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.mortegliano.ud.it,MX (mx1.nauta.it) is self-hosted
IT-COM-032003,Comune di Muggia,comune.muggia.ts.it,relay-rupar-pri.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.muggia.ts.it,MX (relay-rupar-pri.regione.fvg.it) is self-hosted
IT-COM-004153,Comune di Nucetto,comune.nucetto.cn.it,mx4.serverlet.com;mx5.serverlet.com,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.nucetto.cn.it,"MX (mx4.serverlet.com, mx5.serverlet.com) is self-hosted"
IT-COM-024079,Comune di Poiana Maggiore,comune.poiana-maggiore.vi.it,relay1.altovicentino.it;relay2.altovicentino.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.poiana-maggiore.vi.it,"MX (relay1.altovicentino.it, relay2.altovicentino.it) is self-hosted"
IT-COM-109033,Comune di Porto San Giorgio,comune.portosangiorgio.fm.it,comune.portosangiorgio.fm.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.portosangiorgio.fm.it,"riclassificato da google: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'emai"
IT-COM-004175,Comune di Priero,comune.priero.cn.it,mail.comune.priero.cn.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.priero.cn.it,MX (mail.comune.priero.cn.it) is self-hosted
IT-COM-059020,Comune di Prossedi,comune.prossedi.lt.it,mail.global.frontbridge.com,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.prossedi.lt.it,MX (mail.global.frontbridge.com) is self-hosted
IT-COM-030091,Comune di Remanzacco,comune.remanzacco.ud.it,mx-01-eu-central-1.prod.hydra.sophos.com;mx-02-eu-central-1.prod.hydra.sophos.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.remanzacco.ud.it,MX is sophos gateway; backend provider unknown
IT-COM-031016,Comune di Ronchi dei Legionari,comune.ronchideilegionari.go.it,mx-01-eu-central-1.prod.hydra.sophos.com;mx-02-eu-central-1.prod.hydra.sophos.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.ronchideilegionari.go.it,MX is sophos gateway; backend provider unknown
IT-COM-096055,Comune di Rosazza,comune.rosazza.bi.it,mail.comune.rosazza.bi.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.rosazza.bi.it,MX (mail.comune.rosazza.bi.it) is self-hosted
IT-COM-004199,Comune di Sale Delle Langhe,comune.saledellelanghe.cn.it,mail.comune.saledellelanghe.cn.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.saledellelanghe.cn.it,MX (mail.comune.saledellelanghe.cn.it) is self-hosted
IT-COM-032004,Comune di San Dorligo della Valle - Dolina,comune.san-dorligo-della-valle.ts.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.san-dorligo-della-valle.ts.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-002135,Comune di Scopello,comune.scopello.vc.it,mail.comune.scopello.vc.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.scopello.vc.it,MX (mail.comune.scopello.vc.it) is self-hosted
