Id Scheda;Nome;Tipologia;Nome Fornitore;Livello di qualificazione/adeguamento;Data di qualificazione;Scadenza qualificazione
SA-5224;Doc2Res;SaaS;Consorzio di Bioingegneria e Informatica Medica;1;2024-12-27;2027-12-26
IA-3273;Host Cloud;IaaS;Host S.p.A.;1;2024-12-12;2027-12-11
SA-4973;CAST Highlight;SaaS;CAST Sa;1;2024-12-16;2027-12-15
SA-5124;ACTACONTENZIOSO;SaaS;Actainfo s.r.l.;1;2024-12-18;2027-12-17
SA-3551;SEP- Whisteblowing;SaaS;Parsec 3.26 S.r.l.;1;2024-12-27;2027-12-26
SA-1684;Riconciliazione PAGOPA;SaaS;ACCATRE s.r.l.;1;2025-01-03;2028-01-02
SA-2350;Istanze Online;SaaS;ACCATRE s.r.l.;1;2025-01-03;2028-01-02
SA-3720;SmartLea;SaaS;Magaldi Innova S.R.L.;2;2024-12-18;2027-12-17
IA-105;TIM Self Data Center Hypervisor VMware;IaaS;Telecom Italia S.p.A.;2;2024-12-09;2027-12-08
SA-542;Backup Cloud;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2749;Axios Esami I ciclo;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-1475;Axios Collabora;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-1479;Axios Registro Elettronico Famiglie 2.0;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2733;Axios RET WEB;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-1474;Axios Alumni WEB;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-2731;Axios MOF;SaaS;Axios Italia Service Srl;1;2025-01-03;2028-01-02
SA-4968;Docebo S.p.A a Socio Unico;SaaS;Docebo S.p.A a Socio Unico;1;2025-01-03;2028-01-02
SA-3726;FLEERUN;SaaS;DRIVEVOLVE S.R.L.;1;2025-01-03;2028-01-02
SA-519;STRATEGIC PA;SaaS;Ecoh Media s.r.l.;1;2025-01-03;2028-01-02
SA-5138;Targa Telematics T2;SaaS;Targa Telematics S.p.A.;1;2024-12-27;2027-12-26
SA-1818;Juliaomix;SaaS;GenomeUp srl;2;2025-01-07;2028-01-06
SA-4766;EGGSHR;SaaS;ICT-GROUP SRL;2;2024-11-27;2027-11-26
SA-4767;SIXSTER;SaaS;ICT-GROUP SRL;2;2024-11-27;2027-11-26
SA-4768;SISOS;SaaS;ICT-GROUP SRL;2;2024-11-27;2027-11-26
IA-3695;TIM Cloud Flex- Dedicated Cloud;IaaS;Telecom Italia S.p.A.;2;2024-12-09;2027-12-08
SA-3643;SVS -SPORTELLO VIRTUALE STEP;SaaS;S.T.E.P. S.R.L.;1;2024-12-19;2027-12-18
SA-5269;Sia;SaaS;Microdisegno Srl;1;2025-01-07;2028-01-06
SA-591;SegecNet;SaaS;Safety21 S.p.A.;1;2025-01-07;2028-01-06
SA-3642;STEPPY WEB –GESTIONE TRIBUTI;SaaS;S.T.E.P. S.R.L.;1;2025-01-07;2028-01-06
SA-5187;SCHOOL NET;SaaS;Etica Soluzioni srl;1;2025-01-07;2028-01-06
SA-5592;ACTAISCRIZIONI;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-5593;ALBOPRO;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-5509;Avaya Experience Platform;SaaS;Avaya Italia SpA;1;2025-02-07;2028-02-06
SA-3404;Studies4Res;SaaS;Consorzio di Bioingegneria e Informatica Medica;1;2025-02-07;2028-02-06
SA-5106;FORWORK Suite: Medwork - Safework - Trainwork;SaaS;Hubenture S.r.l.;1;2025-02-07;2028-02-06
SA-5275;NeMeA VideoStream;SaaS;NEMEA SISTEMI SRL;1;2025-02-07;2028-02-06
SA-2435;URBE AWS – SISTEMA INFORMATIVO ENTI LOCALI;SaaS;PUBLISYS S.P.A.;1;2025-02-07;2028-02-06
SA-5529;EasySynergy;SaaS;Progetti e Soluzioni SPA;1;2025-02-07;2028-02-06
SA-3002;Concorsi SMART;SaaS;Recrytera SRL;2;2025-02-07;2028-02-06
SA-5479;SeqOne platform;SaaS;SeqOne S.A.S.;1;2025-02-07;2028-02-06
SA-5480;Cyber Portal S3K;SaaS;S3K SECURITY OF THE THIRD MILLENNIUM S.P.A.;1;2025-02-10;2028-02-09
SA-5683;CWOL WIND3;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
SA-5681;CWOL LP;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
SA-611;APPALTIPA;SaaS;PALITALSOFT SRL;1;2025-02-11;2028-02-10
PA-5618;Application Development;PaaS;Oracle Corporation;2;2025-02-19;2028-02-18
SA-5638;Radware Cloud DDoS;SaaS;Radware LTD;2;2025-02-20;2028-02-19
PA-5008;AZURE Servizi PaaS;PaaS;Microsoft Corporation;2;2025-01-20;2028-01-19
SA-5026;Microsoft Dynamics365;SaaS;Microsoft Corporation;2;2025-01-20;2028-01-19
SA-3159;LT Academy;SaaS;LTA S.R.L.;1;2025-01-23;2028-01-22
IA-5194;Cloud Server;IaaS;FlameNetworks S.r.l.;1;2025-01-23;2028-01-22
SA-3160;MUA SDA - Sistema digitale di approvazione;SaaS;LTA S.R.L.;1;2025-01-23;2028-01-22
SA-3367;DocWay Cloud;SaaS;3D Informatica Srl;1;2025-01-28;2028-01-27
IA-232;ASCOiaas;IaaS;Acantho spa;1;2025-01-17;2028-01-16
SA-3989;ACTAGOV2;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-769;E.Trace;SaaS;NOVA S.R.L.;2;2025-02-05;2028-02-04
SA-3905;SIX Suite su Aruba Virtual Private Cloud;SaaS;ICCS INFORMATICA SRL;1;2025-02-06;2028-02-05
SA-5109;P@WHITE 4.0;SaaS;Project Automation SpA;1;2025-02-06;2028-02-05
SA-2154;WHISTLEACTA;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
SA-2167;RTDTEAM;SaaS;Actainfo s.r.l.;1;2025-02-07;2028-02-06
PA-2519;Cloud Composer;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-299;Dataproc;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
PA-3009;Virtual Private Cloud;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
IA-2521;Cloud HSM;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
SA-5674;DREAMBORN PMA;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3596;Sala Stampa in Cloud;SaaS;Microvision s.r.l.;1;2025-03-17;2028-03-17
SA-3594;Partecipa in Cloud;SaaS;Microvision s.r.l.;1;2025-03-17;2028-03-17
SA-545;ICA SUITE;SaaS;ICA IMPOSTE COMUNALI AFFINI SRL;1;2025-03-17;2028-03-17
SA-3590;Gestione Prenotazione Online;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3586;APP Screening;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3584;TeleVisita;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3581;ONCOGA;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-3591;SMS VAS;SaaS;KG PARTNERS SRL;1;2025-03-17;2028-03-17
SA-1278;PASS - Gestione permessi;SaaS;BRAV SRL con socio unico;1;2025-03-25;2028-03-25
PA-284;Cloud SQL;PaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
IA-293;Compute Engine;IaaS;Google Cloud Italy S.r.l.;2;2025-03-25;2028-03-25
SA-2498;Suite area patrimoniale;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-2410;Presenze;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
SA-218;Suite Area Contabile Economica;SaaS;Argo Software srl;1;2025-01-28;2028-01-27
PA-14;Nivola PaaS;PaaS;CSI Piemonte - Consorzio per il Sistema Informativo;2;2025-01-28;2028-01-27
IA-5196;Server Dedicato Pro;IaaS;FlameNetworks S.r.l.;1;2025-01-23;2028-01-22
SA-4887;SOGISCUOLA;SaaS;Gruppo Spaggiari Parma S.p.A.;1;2025-01-31;2028-01-30
IA-5030;Virtual Private Cloud;IaaS;Vodafone Italia S.p.A.;1;2025-01-28;2028-01-27
SA-5228;XAtlas/Zucchetti DC;SaaS;Zucchetti Spa;1;2025-01-28;2028-01-27
PA-5040;DATACENTER SFERA INFORMATICA J-Cloud;PaaS;SFERA INFORMATICA & STRUMENTAZIONE S.r.l.;1;2025-01-20;2028-01-19
SA-3645;Maia Connected Care;SaaS;ab medica spa;1;2025-02-04;2028-02-03
SA-5450;Posta Elettronica MAILENABLE Z5450;SaaS;ZADEA SRL;1;2025-02-04;2028-02-03
SA-5449;K-Trib su DINOVA;SaaS;Sikuel S.r.l.;1;2025-02-04;2028-02-03
SA-3437;ECS SMS;SaaS;EUROPSYS SRL;1;2025-02-05;2028-02-04
SA-2777;BMC Helix Continuous Optimization;SaaS;BMC Software Distribution B.V.;1;2025-01-31;2028-01-30
SA-3835;Icaro su Maggioli;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-319;Conservazione digitale;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-191;Concilia su Dinova;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-1943;Autosc@n;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-3004;Anagrafe On Line EVO;SaaS;Maggioli Spa;1;2025-02-05;2028-02-04
SA-3925;PIAO+;SaaS;ACCATRE s.r.l.;1;2025-02-07;2028-02-06
