codice_ipa,codice_comune_istat,name
17UW94ZL,024129,Comune di Castegnero Nanto
7ZHXNWHL,053001,CONSORZIO RIUNITO STRADE VICINALI COMUNE ARCIDOSSO
A2V9OORY,024009,fondazione asiago 7 comuni
acbpa,082049,Acquedotto Consortile Biviere
acsvd,033021,Azienda Consortile Servizi Val D'Arda
acvgc,021061,Azienda Consortile Val Gardena - Castelrotto
agrosol,065088,Agro Solidale Azienda Territoriale per I Servizi alla Persona
aipes,060074,A.I.P.E.S. Associazione Intercomunale per Esercizio Sociale - Consorzio per I Servizi alla Persona
aivdl,060008,Associazione Intercomunale Valle del Liri
alicom,070006,Ali Comunimolisani
ampr,099014,Patrimonio Mobilita Provincia di Rimini
ancip,001272,Anci Piemonte
anciv,028060,Anci Veneto
ascast,067025,Azienda Speciale Consortile Ambito Sociale Tordino
ascgs,017170,Azienda Speciale Consortile Garda Sociale
asclg,064005,Azienda Speciale Consortile per La Gestione Associata Delle Politiche Sociali Nei Comuni dell'Ambito Territoriale N. A1
assch,069084,Associazione Tra Enti Locali per L'Attuazione del Patto Territoriale Sangro Aventino
assemi,015192,Azienda Sociale Sud Est Milano
atespr,034027,Agenzia Territoriale per L'Energia e La Sostenibilita' di Parma
atsgal,085011,Ats Gal Terre del Nisseno
atsmag,087011,Associazione Temporanea di Scopo Maguli
atsms,082036,Ats Madonie Sud
B02ASC,062058,B02 - Azienda Speciale Consortile per La Gestione Dei Servizi alla Persona
BB2S4HIU,057027,Consorzio Sociale Rieti3
bpa,028001,Consorzio Biblioteche Padovane Associate
BRM2B3KM,058091,UNCEM DELEGAZIONE REGIONALE DEL LAZIO
c_a65,115012,Consorzio Due Giare
c_f208A,115032,Comune di Milis
c_F8494,021056,Consorzio-azienda Naturno-senales-plaus
c_h93,082064,Consorzio Sviluppo e Legalita
c_i64,042046,Consorzio per La Gestione di Servizi Comunali Co.Ge.S.Co.
c_l158a,112058,Comune di Thiesi
c_m168s,115087,Comune di Zerfaliu
C526ABVO,073003,Consorzio Volontario per la Valorizzazione Turistica del Litorale Tarantino Occidentale
cabmar,004196,Consorzio Acquedotto Benevello - Montelupo Albese - Rodello
cacoms,057012,Consorzio Acquedotto Comuni Media Sabina
caidp,057027,Consorzio Acquedotto Intercomunale del Peschiera
camdr,006111,Consorzio Acquedotto Madonna della Rocchetta
camt,058032,Consorzio Acquedotto Medio Tirreno in Liquidazione
capin,001191,Consorzio Acea Pinerolese
car,013102,Consorzio Depurazione Acque Reflue Comprensorio Torrente Livescia
carbba,110001,Consorzio Ato Rifiuti Bacino Ba1
cat,016098,Consorzio Ambiente Territorio e Servizi
catcfm,062034,Consorzio Acquedotto Tra I Comuni di Fragneto Monforte e Fragneto L'Abate
cavn,033004,Consorzio Acquedotto Val Nure
cb_to,001265,CONSORZIO DI AREA VASTA CB 16
cbcar,030121,Consorzio Boschi Carnici
cbn,003106,Consorzio Area Vasta Basso Novarese
cbsap,057029,Consorzio Bassa Sabina Acqua Peschiera
ccaip,001125,Consorzio Canavesano Ambiente
cccfgnf,063032,Consorzio Cimiteriale Fra I Comuni di Frattamaggiore Grumo Nevano e Frattaminore
ccpavn,033019,Consorzio Casa Protetta Alta Val Nure
cdb_ot,113008,Comune di Budduso'
cdcmuaf,057070,Consorzio Dei Comuni per Il Museo Territoriale dell'Agro Foronovano
cdmps,079029,Consorzio di Metanizazzazione Pre-Serre
cdssac,001078,Consorzio dei Servizi Socio Assistenziali del Chierese
cdvb,012006,Consorzio della Valbossa
cea,075061,C.E.A. Centro di Educazione Ambientale Delle Serre Salentine
cecu,004078,Consorzio Ecologico Cuneese
cfi,065116,Consorzio Farmaceutico Intercomunale
cg_f727,115037,Consorzio di Gestione del Parco Naturale Regionale del Monte Arci
